	id	host_id	neighbourhood_group	neighbourhood	latitude	longitude	price	minimum_nights	number_of_reviews	calculated_host_listings_count	availability_365	cancellation_policy	guests_included	bedrooms	risk_rating
6923	42910492	6359940	3	32	1.35661	103.86173000000001	60	14	2	3	324	1	1	1	0
6924	42913779	281448565	0	15	1.31336	103.85879	80	30	0	16	364	0	1	1	1
6925	42914383	281448565	0	15	1.31342	103.8595	82	30	0	16	270	0	1	1	1
6926	42917601	52310102	0	27	1.2811	103.78546	70	14	0	1	365	0	1	0	0
6927	42919813	23611487	0	23	1.28702	103.84346	85	1	0	2	180	0	1	0	0
6928	42923213	165098680	0	27	1.28062	103.78925	250	30	0	3	52	2	1	4	1
6929	42925015	339298127	0	21	1.32748	103.84470999999999	203	5	0	12	90	0	3	3	0
6930	42925077	339298127	0	21	1.32571	103.84443	203	7	0	12	90	0	2	2	0
6931	42925149	339298127	0	27	1.28262	103.78475999999999	222	7	0	12	90	0	3	3	0
6932	42930945	8978331	0	10	1.2744	103.84170999999999	82	15	0	2	365	0	1	1	0
6933	42931178	1725521	0	11	1.31617	103.88426	199	3	0	18	357	1	5	2	0
6934	42931312	238891646	0	29	1.30186	103.86129	159	30	0	81	364	2	1	2	1
6935	42931633	238891646	0	10	1.2743799999999998	103.84626999999999	155	30	0	81	1	2	1	1	1
6936	42932667	341845084	0	33	1.28905	103.84691	264	1	0	1	40	0	1	3	0
6938	42933302	300415759	0	18	1.30708	103.89921	130	2	1	6	358	1	1	1	0
6939	42933385	156409670	0	37	1.31596	103.82605	475	6	0	103	364	2	1	3	0
6940	42933704	156409670	0	11	1.3111700000000002	103.87674	280	14	0	103	364	2	1	2	0
6941	42933735	122879771	3	12	1.37655	103.8808	20	1	0	1	82	2	1	1	0
6942	42936749	341869568	2	41	1.42646	103.83827	40	30	0	1	179	0	1	1	1
6943	42936788	293353353	3	32	1.34328	103.88199	300	1	0	1	82	0	1	2	0
6944	42943831	10861133	0	15	1.3149899999999999	103.86039	136	13	0	11	346	0	1	1	0
6945	42944302	201034613	0	11	1.3095700000000001	103.87665	160	10	0	54	0	2	4	2	0
6946	42944763	156409670	0	11	1.30975	103.87778	355	14	0	103	364	2	1	3	0
6947	42945187	156409670	0	21	1.3271	103.84806	280	14	0	103	364	2	1	2	0
6948	42945596	201034613	0	11	1.31168	103.8781	159	7	0	54	365	2	4	2	0
6949	42945709	156409670	0	15	1.29999	103.86055999999999	429	3	0	103	364	2	1	1	0
6950	42945867	156409670	0	15	1.30344	103.86310999999999	170	28	0	103	1	2	1	1	0
6951	42946035	156409670	0	28	1.30269	103.83069	440	6	0	103	364	2	1	1	0
6953	42954227	43591543	0	19	1.29701	103.84354	259	5	0	12	178	2	1	3	0
6954	42954287	43591543	2	7	1.3513600000000001	103.82058	157	14	0	12	365	0	1	2	0
6955	42954510	8492007	0	11	1.31136	103.87675	200	5	0	117	365	2	3	3	0
6956	42956072	29420853	0	29	1.2997100000000001	103.85041	300	14	1	97	365	2	1	3	0
6957	42956618	138649185	0	10	1.2746899999999999	103.84425	240	28	0	99	364	2	1	2	0
6958	42956982	156409670	0	10	1.2740200000000002	103.84446	240	28	0	103	364	2	1	2	0
6959	42959426	138649185	0	10	1.28165	103.84937	225	28	0	99	364	2	1	2	0
6960	42959776	156409670	0	10	1.28129	103.84886999999999	266	25	0	103	364	2	1	2	0
6961	42968514	138649185	0	37	1.31608	103.82763	430	6	0	99	364	2	1	2	0
6962	42968688	138649185	0	37	1.3154700000000001	103.82741	291	6	0	99	364	2	1	0	0
6963	42970150	96467516	0	11	1.31209	103.88011999999999	73	2	0	23	245	2	2	1	0
6964	42978528	138649185	0	11	1.31874	103.88176999999999	150	28	0	99	364	2	1	2	0
6965	42982743	1725521	0	4	1.29011	103.82904	210	1	0	18	364	1	6	5	0
6966	42983733	238891646	0	21	1.3189899999999999	103.8449	310	3	0	81	364	2	6	3	0
6967	42986196	339298127	4	9	1.30837	103.76753000000001	68	31	0	12	90	0	1	1	1
6968	42992160	238891646	0	21	1.32796	103.8498	185	30	0	81	364	2	1	3	1
6969	42993401	214618908	4	14	1.34619	103.72453	40	90	0	1	365	0	1	0	1
6970	42994172	66406177	0	10	1.2787600000000001	103.84621	161	7	0	335	0	2	1	1	0
6971	42994535	66406177	0	10	1.27309	103.84669	165	3	0	335	70	2	1	1	0
6972	42994606	66406177	0	10	1.27417	103.84611	165	3	0	335	70	2	1	1	0
6973	43004769	92063474	1	1	1.3141100000000001	103.91042	80	6	1	1	20	0	1	0	0
6976	43007751	167503376	0	37	1.31787	103.83123	79	1	0	1	32	0	1	1	0
6977	43007892	66406177	0	10	1.27548	103.84653	137	3	0	335	69	2	1	0	0
6978	43008618	66406177	0	38	1.33041	103.86904	130	7	1	335	0	2	1	0	0
6979	43008762	66406177	0	38	1.32965	103.86748	130	7	0	335	0	2	1	1	0
6980	43014640	45877399	0	11	1.31182	103.88710999999999	259	3	0	39	365	2	1	4	0
6981	43015409	238891646	4	13	1.33612	103.74157	130	30	0	81	364	2	1	1	1
6982	43015899	338974701	4	13	1.3471799999999998	103.7302	63	28	0	2	365	2	1	1	0
6983	43023464	1725521	0	11	1.31372	103.88583	225	3	0	18	356	1	5	2	0
6984	43025041	8492007	0	11	1.314	103.87733	198	3	0	117	365	2	1	2	0
6985	43025512	45877399	0	11	1.3134	103.87546999999999	198	3	0	39	180	2	1	2	0
6986	43026745	29420853	0	11	1.3133700000000001	103.87661999999999	162	10	0	97	365	2	4	2	0
6987	43026758	29420853	0	11	1.3142200000000002	103.87715	200	10	0	97	365	2	1	3	0
6988	43027159	201034613	0	21	1.3223200000000002	103.85056999999999	124	20	0	54	365	2	2	1	0
6989	43028273	201034613	0	29	1.30118	103.84619	120	15	0	54	365	2	2	1	0
6990	43034090	96467516	0	11	1.3138100000000001	103.88055	61	2	0	23	168	2	1	1	0
6991	43039071	45877399	0	29	1.3001	103.84987	198	10	0	39	365	2	1	3	0
6992	43041408	9027051	0	15	1.3073700000000001	103.8615	180	21	0	1	1	0	1	1	0
6993	43041557	61619807	0	28	1.2957	103.83936	95	2	1	38	212	2	2	1	0
6994	43046592	339298127	0	28	1.29774	103.83523000000001	66	31	0	12	90	0	1	1	1
6995	43048892	342663755	2	30	1.4407299999999998	103.82758000000001	50	21	0	1	0	0	1	1	0
